room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10202641,46313248.0,Entire home/apt,Queens,Ridgewood,0,,6.0,3.0,220.0,2.0,40.70937,-73.917023,2016-08-24 10:23:07.032240
2238028,1974637.0,Entire home/apt,Brooklyn,Williamsburg,7,4.5,6.0,3.0,400.0,1.0,40.713982,-73.93681,2016-08-24 13:46:29.932614
4575369,1290815.0,Entire home/apt,Brooklyn,Williamsburg,12,5.0,8.0,3.0,275.0,3.0,40.720068,-73.942437,2016-08-24 07:43:56.265337
2431210,1837226.0,Entire home/apt,Brooklyn,Bushwick,4,4.5,8.0,3.0,220.0,5.0,40.708661,-73.922387,2016-08-24 07:11:33.135760
8907184,9012184.0,Entire home/apt,Brooklyn,Williamsburg,56,4.5,6.0,3.0,249.0,2.0,40.72227,-73.957881,2016-08-24 17:19:35.016444
9754392,1209335.0,Entire home/apt,Brooklyn,Greenpoint,1,,6.0,3.0,250.0,1.0,40.723905,-73.95329699999998,2016-08-24 11:36:36.593502
4250885,22058453.0,Entire home/apt,Queens,Ridgewood,60,4.5,7.0,3.0,149.0,2.0,40.710187,-73.919326,2016-08-24 03:26:23.649427
7043817,20270730.0,Entire home/apt,Brooklyn,Williamsburg,4,5.0,7.0,3.0,499.0,5.0,40.715583,-73.939265,2016-08-24 08:29:22.691745
13222347,62402451.0,Entire home/apt,Brooklyn,Williamsburg,13,4.5,10.0,3.0,280.0,2.0,40.70845,-73.931309,2016-08-24 06:29:42.280770
11535351,10408402.0,Entire home/apt,Queens,Ridgewood,13,4.5,6.0,3.0,149.0,1.0,40.711157,-73.919372,2016-08-24 06:59:27.848621
747344,3011406.0,Entire home/apt,Brooklyn,Williamsburg,78,4.5,7.0,3.0,246.0,4.0,40.706082,-73.931535,2016-08-24 04:34:14.047849
9308016,1516920.0,Entire home/apt,Brooklyn,Greenpoint,1,,6.0,3.0,115.0,1.0,40.730767,-73.958506,2016-08-24 11:16:36.464611
14490167,2125029.0,Entire home/apt,Manhattan,Murray Hill,0,,8.0,3.0,350.0,5.0,40.744543,-73.972196,2016-08-24 06:24:37.540004
6385547,834483.0,Entire home/apt,Brooklyn,Greenpoint,15,5.0,7.0,3.0,350.0,3.0,40.72832800000001,-73.94781400000002,2016-08-24 09:59:35.382735
6107289,13920011.0,Entire home/apt,Brooklyn,Greenpoint,3,5.0,6.0,3.0,280.0,5.0,40.729875,-73.952962,2016-08-24 06:12:49.040313
1254414,6833134.0,Entire home/apt,Brooklyn,Greenpoint,0,,4.0,3.0,150.0,7.0,40.728152,-73.95660500000002,2016-08-24 04:18:37.480163
7648634,27691935.0,Entire home/apt,Queens,Ridgewood,4,5.0,4.0,3.0,210.0,5.0,40.701561,-73.902373,2016-08-24 10:34:18.695698
2038017,4462261.0,Entire home/apt,Brooklyn,Williamsburg,40,4.5,4.0,3.0,220.0,2.0,40.705027,-73.930824,2016-08-24 09:31:17.371531
12802817,69438520.0,Entire home/apt,Brooklyn,Greenpoint,1,,7.0,3.0,150.0,4.0,40.724705,-73.94789,2016-08-24 11:13:55.133861
11543916,394032.0,Entire home/apt,Brooklyn,Greenpoint,3,4.5,6.0,3.0,250.0,3.0,40.733256,-73.956316,2016-08-24 15:17:42.937184
9314004,48344792.0,Entire home/apt,Manhattan,Murray Hill,2,,3.0,3.0,350.0,1.0,40.745822,-73.977199,2016-08-24 11:14:57.251595
11888026,63202581.0,Entire home/apt,Manhattan,Midtown,14,5.0,6.0,3.0,495.0,,40.756599,-73.971654,2016-08-24 16:29:23.042384
10115792,48784045.0,Entire home/apt,Manhattan,Kips Bay,0,,6.0,3.0,449.0,1.0,40.745202,-73.977795,2016-08-24 13:27:59.589631
9414029,48811040.0,Entire home/apt,Manhattan,Midtown,0,,8.0,3.0,449.0,2.0,40.754406,-73.968828,2016-08-24 15:47:01.497985
8210734,3226528.0,Entire home/apt,Brooklyn,Williamsburg,13,4.0,7.0,3.0,245.0,1.0,40.713169,-73.942166,2016-08-24 05:46:42.663998
9943801,42993745.0,Entire home/apt,Manhattan,Midtown,0,,8.0,3.0,140.0,3.0,40.756113,-73.968338,2016-08-24 11:37:14.181262
10951019,373260.0,Entire home/apt,Manhattan,Murray Hill,18,4.5,7.0,3.0,447.0,1.0,40.74919600000001,-73.977452,2016-08-24 12:58:31.562777
718796,610769.0,Entire home/apt,Manhattan,Midtown,46,5.0,6.0,3.0,550.0,3.0,40.753489,-73.96898399999998,2016-08-24 05:48:07.534123
13559983,55991167.0,Entire home/apt,Manhattan,Midtown,5,4.0,4.0,3.0,1350.0,2.0,40.751629,-73.96684499999998,2016-08-24 17:57:42.456638
14616062,31078864.0,Entire home/apt,Queens,Long Island City,0,,4.0,3.0,179.0,4.0,40.743054,-73.95296,2016-08-24 05:41:07.861571
8149018,43022976.0,Entire home/apt,Queens,Long Island City,28,4.5,8.0,3.0,275.0,2.0,40.745902,-73.955345,2016-08-24 05:50:14.508225
11592324,61316506.0,Entire home/apt,Queens,Sunnyside,16,4.5,8.0,3.0,150.0,1.0,40.746081,-73.915274,2016-08-24 07:15:59.502682
13428378,76565174.0,Entire home/apt,Queens,Long Island City,2,,3.0,3.0,150.0,1.0,40.753937,-73.921409,2016-08-24 05:41:44.455499
5236904,12132619.0,Entire home/apt,Queens,Long Island City,38,4.5,7.0,3.0,195.0,2.0,40.735963,-73.925614,2016-08-24 04:59:28.702450
14359218,77777027.0,Entire home/apt,Queens,Sunnyside,0,,8.0,3.0,280.0,1.0,40.742952,-73.917375,2016-08-24 11:10:57.964435
10253315,27431753.0,Entire home/apt,Queens,Sunnyside,28,5.0,7.0,3.0,175.0,2.0,40.738804,-73.92326700000002,2016-08-24 15:09:09.259145
14205364,2343858.0,Entire home/apt,Brooklyn,Williamsburg,2,,8.0,3.0,350.0,2.0,40.716347,-73.949822,2016-08-24 13:16:07.694435
1758214,5992129.0,Entire home/apt,Brooklyn,Greenpoint,35,4.5,4.0,3.0,185.0,4.0,40.73063300000001,-73.95463199999998,2016-08-24 05:01:53.671387
7093979,3946744.0,Entire home/apt,Manhattan,Midtown,0,,6.0,3.0,450.0,2.0,40.756513,-73.96696,2016-08-24 17:36:45.985520
13066577,10677584.0,Entire home/apt,Brooklyn,Greenpoint,5,4.5,3.0,3.0,129.0,3.0,40.733334,-73.956991,2016-08-24 03:04:30.316007
8400115,43768534.0,Entire home/apt,Brooklyn,Greenpoint,7,5.0,3.0,3.0,220.0,1.0,40.724033,-73.943057,2016-08-24 16:30:07.253592
131892,262686.0,Entire home/apt,Queens,Forest Hills,1,,4.0,3.0,195.0,1.0,40.712033,-73.84233499999998,2016-08-24 17:10:12.678511
6013897,31176988.0,Entire home/apt,Queens,Woodside,26,4.5,8.0,3.0,99.0,,40.746997,-73.90307,2016-08-24 04:47:05.662208
8407092,9684993.0,Entire home/apt,Queens,Ridgewood,0,,5.0,3.0,145.0,1.0,40.709281,-73.897954,2016-08-24 16:52:32.633933
12055520,64566746.0,Entire home/apt,Queens,Rego Park,0,,4.0,3.0,500.0,1.0,40.724401,-73.856302,2016-08-24 08:38:54.721589
12973540,67376966.0,Entire home/apt,Queens,Forest Hills,3,2.5,6.0,3.0,220.0,1.0,40.734895,-73.84837900000002,2016-08-24 06:04:53.646225
7805051,23545344.0,Entire home/apt,Queens,Long Island City,7,4.5,10.0,3.0,325.0,1.0,40.755443,-73.930837,2016-08-24 14:22:48.475484
12159172,1460460.0,Entire home/apt,Queens,Astoria,1,,5.0,3.0,250.0,7.0,40.75591,-73.918982,2016-08-24 04:22:27.425162
14465415,88681982.0,Entire home/apt,Queens,Forest Hills,0,,7.0,3.0,199.0,1.0,40.732689,-73.85284,2016-08-24 07:49:19.582329
14277661,49875.0,Entire home/apt,Queens,Rego Park,0,,6.0,3.0,230.0,10.0,40.723123,-73.86421,2016-08-24 07:05:28.327662
12453456,67376966.0,Entire home/apt,Queens,Rego Park,9,4.0,7.0,3.0,220.0,1.0,40.728996,-73.85844399999998,2016-08-24 10:57:42.490128
9832641,45518821.0,Entire home/apt,Queens,Maspeth,25,4.5,5.0,3.0,125.0,1.0,40.727618,-73.8964,2016-08-24 15:00:58.268604
7246903,26411218.0,Entire home/apt,Queens,Maspeth,21,4.5,5.0,3.0,150.0,3.0,40.734557,-73.888914,2016-08-24 13:31:24.581339
12834646,70060364.0,Entire home/apt,Queens,Rego Park,0,,4.0,3.0,100.0,10.0,40.724946,-73.86806,2016-08-24 17:08:41.064546
14274354,87047143.0,Entire home/apt,Manhattan,Upper East Side,0,,6.0,3.0,699.0,1.0,40.763067,-73.965331,2016-08-24 05:31:14.247369
9429038,48750794.0,Entire home/apt,Manhattan,Upper East Side,30,4.0,8.0,3.0,500.0,1.0,40.761704,-73.963186,2016-08-24 11:13:42.088435
9793676,50473263.0,Entire home/apt,Manhattan,Upper East Side,0,,3.0,3.0,1100.0,1.0,40.768753,-73.96763399999998,2016-08-24 03:38:38.671104
8810937,46153496.0,Entire home/apt,Manhattan,Upper East Side,8,5.0,6.0,3.0,495.0,,40.770912,-73.960792,2016-08-24 08:33:28.098268
14054091,83978541.0,Entire home/apt,Manhattan,Midtown,0,,7.0,3.0,350.0,5.0,40.759662,-73.968276,2016-08-24 15:42:52.976215
12583910,42679452.0,Entire home/apt,Manhattan,Midtown,7,4.0,8.0,3.0,500.0,1.0,40.758478,-73.972048,2016-08-24 12:16:43.254926
6476242,33833944.0,Entire home/apt,Manhattan,Midtown,13,4.5,4.0,3.0,340.0,6.0,40.760154,-73.96378399999998,2016-08-24 06:18:19.326822
7970578,20233558.0,Entire home/apt,Brooklyn,Greenpoint,4,5.0,5.0,3.0,260.0,2.0,40.731748,-73.954031,2016-08-24 11:25:33.063882
6817960,221775.0,Entire home/apt,Manhattan,Upper West Side,0,,4.0,3.0,440.0,3.0,40.783369,-73.973507,2016-08-24 11:58:51.567967
13784828,80961860.0,Entire home/apt,Manhattan,Midtown,1,,6.0,3.0,250.0,,40.761324,-73.96759399999998,2016-08-24 09:48:14.778318
9961313,14816520.0,Entire home/apt,Manhattan,Upper East Side,4,5.0,5.0,3.0,190.0,4.0,40.771519,-73.954957,2016-08-24 13:10:01.190711
2291943,11708656.0,Entire home/apt,Manhattan,Upper East Side,0,,3.0,3.0,1000.0,1.0,40.774766,-73.955028,2016-08-24 04:26:54.605017
13556650,45752004.0,Entire home/apt,Manhattan,Upper East Side,4,5.0,5.0,3.0,550.0,2.0,40.776789,-73.959317,2016-08-24 06:14:16.235648
11904714,13747543.0,Entire home/apt,Manhattan,Upper East Side,15,4.5,7.0,3.0,400.0,2.0,40.773258,-73.954181,2016-08-24 07:56:23.772786
14628204,79140314.0,Entire home/apt,Manhattan,Upper East Side,1,,6.0,3.0,485.0,4.0,40.777878,-73.951719,2016-08-24 15:48:58.904801
13129905,72604457.0,Entire home/apt,Manhattan,Upper East Side,10,5.0,6.0,3.0,395.0,,40.77744000000001,-73.956969,2016-08-24 06:42:03.755977
7344557,38476529.0,Entire home/apt,Manhattan,Upper East Side,0,,6.0,3.0,145.0,4.0,40.772156,-73.959259,2016-08-24 06:38:32.787194
6936794,12028820.0,Entire home/apt,Manhattan,Upper East Side,8,5.0,8.0,3.0,800.0,3.0,40.763476,-73.958845,2016-08-24 09:13:06.497574
8421416,44352618.0,Entire home/apt,Manhattan,Upper East Side,0,,6.0,3.0,900.0,1.0,40.770329,-73.959565,2016-08-24 10:47:02.923405
6391684,637451.0,Entire home/apt,Manhattan,Upper East Side,31,3.5,6.0,3.0,238.0,1.0,40.766475,-73.957815,2016-08-24 10:41:59.240162
12794690,69637663.0,Entire home/apt,Manhattan,Upper East Side,9,4.5,9.0,3.0,525.0,1.0,40.76275,-73.960435,2016-08-24 09:05:08.335515
8982811,46931267.0,Entire home/apt,Manhattan,Upper West Side,5,4.5,6.0,3.0,230.0,1.0,40.787953,-73.974361,2016-08-24 17:22:22.849937
10333322,53176146.0,Entire home/apt,Manhattan,Upper East Side,4,5.0,6.0,3.0,500.0,2.0,40.775509,-73.955691,2016-08-24 12:38:29.133260
12772076,69488526.0,Entire home/apt,Queens,Astoria,0,,5.0,3.0,250.0,14.0,40.761252,-73.92013299999998,2016-08-24 15:46:15.759288
8147106,7450299.0,Entire home/apt,Queens,Astoria,22,5.0,8.0,3.0,100.0,1.0,40.759361,-73.91755,2016-08-24 09:16:05.462965
785366,4140349.0,Entire home/apt,Queens,Astoria,2,,6.0,3.0,200.0,5.0,40.764028,-73.909136,2016-08-24 11:34:05.747358
5389907,3641421.0,Entire home/apt,Queens,Astoria,0,,6.0,3.0,200.0,7.0,40.763602,-73.92600300000002,2016-08-24 05:18:02.257183
13299243,75092148.0,Entire home/apt,Queens,Astoria,1,,8.0,3.0,300.0,3.0,40.760255,-73.92235,2016-08-24 10:46:06.091967
6376519,2321422.0,Entire home/apt,Queens,Astoria,0,,6.0,3.0,175.0,2.0,40.762991,-73.913972,2016-08-24 16:44:11.385135
13466842,77011788.0,Entire home/apt,Queens,Long Island City,0,,7.0,3.0,229.0,2.0,40.759318,-73.930155,2016-08-24 04:24:08.389350
14548344,21935318.0,Entire home/apt,Queens,Astoria,0,,8.0,3.0,300.0,1.0,40.763002,-73.926013,2016-08-24 14:51:07.832333
7174695,36903246.0,Entire home/apt,Manhattan,Upper East Side,1,,5.0,3.0,700.0,1.0,40.776135,-73.95036999999998,2016-08-24 17:02:58.849418
2261693,11549174.0,Entire home/apt,Manhattan,Upper East Side,0,,6.0,3.0,1000.0,1.0,40.780776,-73.951104,2016-08-24 16:49:00.592766
13894254,82307155.0,Entire home/apt,Manhattan,Upper East Side,7,5.0,8.0,3.0,550.0,2.0,40.77773,-73.949383,2016-08-24 06:47:17.047007
12173904,65402364.0,Entire home/apt,Manhattan,Upper West Side,0,,4.0,3.0,200.0,5.0,40.789419,-73.96768,2016-08-24 08:32:40.993793
10876110,56342176.0,Entire home/apt,Manhattan,Upper West Side,8,5.0,10.0,3.0,800.0,4.0,40.78493,-73.97645899999998,2016-08-24 04:22:43.605409
13546919,420719.0,Entire home/apt,Manhattan,Upper West Side,1,,8.0,3.0,305.0,3.0,40.794202,-73.975713,2016-08-24 13:40:42.648445
8380868,25404823.0,Entire home/apt,Manhattan,Upper West Side,4,5.0,4.0,3.0,250.0,3.0,40.78595,-73.977815,2016-08-24 16:57:09.809146
10308738,1250061.0,Entire home/apt,Manhattan,Upper West Side,10,5.0,6.0,3.0,250.0,2.0,40.791212,-73.969629,2016-08-24 06:54:59.333425
7921666,41772955.0,Entire home/apt,Manhattan,Upper West Side,18,4.5,8.0,3.0,700.0,2.0,40.789915,-73.969032,2016-08-24 08:35:20.406020
11065264,57432552.0,Entire home/apt,Manhattan,Upper East Side,11,4.5,12.0,3.0,500.0,5.0,40.773546,-73.958073,2016-08-24 04:49:13.273146
3434284,17308774.0,Entire home/apt,Queens,Long Island City,37,4.5,12.0,3.0,389.0,2.0,40.75405900000001,-73.93005500000002,2016-08-24 11:40:04.528034
13512783,3726755.0,Entire home/apt,Queens,Long Island City,1,,8.0,3.0,199.0,1.0,40.754518,-73.928688,2016-08-24 05:23:51.001469
9451988,48978399.0,Entire home/apt,Queens,Long Island City,11,4.5,12.0,3.0,375.0,1.0,40.753363,-73.93370999999998,2016-08-24 15:10:28.425669
13276073,74821049.0,Entire home/apt,Queens,Long Island City,2,,6.0,3.0,250.0,3.0,40.757254,-73.931288,2016-08-24 05:57:12.493607
6323266,9646099.0,Entire home/apt,Manhattan,Upper East Side,7,5.0,6.0,3.0,350.0,1.0,40.774303,-73.949712,2016-08-24 11:46:30.358079
5531003,28681796.0,Entire home/apt,Manhattan,Upper East Side,19,5.0,6.0,3.0,420.0,4.0,40.770357,-73.949329,2016-08-24 09:00:04.839127
6843145,5361360.0,Entire home/apt,Manhattan,Upper West Side,3,5.0,4.0,3.0,200.0,3.0,40.787873,-73.971159,2016-08-24 12:04:42.165626
4854417,24973197.0,Entire home/apt,Manhattan,Upper West Side,4,4.5,4.0,3.0,240.0,4.0,40.796556,-73.962379,2016-08-24 17:02:12.162263
